exchange,endpoint,request_start,request_end,page_cursor,interval,contract_or_coin,row_count,min_timestamp,max_timestamp,http_status,raw_file,warning
hyperliquid,https://api.hyperliquid.xyz/info,1784794800000,1784795144000,1784795144000,1m,xyz:SKHX,6,2026-07-23 08:20:00+00:00,2026-07-23 08:25:00+00:00,200,data/raw/hyperliquid/12b65a455e7862fa22872f7a427e0112aa6e4d4b6c29931fba47f7443d1757a8.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784794787000,1784794787000,15m,xyz:SKHX,4139,2026-06-10 05:45:00+00:00,2026-07-23 08:15:00+00:00,200,data/raw/hyperliquid/13569543a8ca0e0c5902dd69f9ee0f87da9d0038caa5c4c5a2f070092152af85.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784794641000,1784794641000,15m,xyz:SKHX,4139,2026-06-10 05:45:00+00:00,2026-07-23 08:15:00+00:00,200,data/raw/hyperliquid/1c779a0debffbffbbb02780ead66c1c8f64ea60d251354136c17bef5c564e11f.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784797733000,1784797733000,15m,xyz:SKHX,4142,2026-06-10 05:45:00+00:00,2026-07-23 09:00:00+00:00,200,data/raw/hyperliquid/24a056dfc7fc4f0f3f6353548c17c662a500cd1d397ccbc744107571eb0b6bf6.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784797680000,1784797733000,1784797733000,1m,xyz:SKHX,1,2026-07-23 09:08:00+00:00,2026-07-23 09:08:00+00:00,200,data/raw/hyperliquid/3e9fc9c430de2de63d33d1045505b32333d39ffaf318b925e12df4460b2c7d53.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784795160000,1784797108000,1784797108000,1m,xyz:SKHX,33,2026-07-23 08:26:00+00:00,2026-07-23 08:58:00+00:00,200,data/raw/hyperliquid/55e8f649f287c84c78bab5312786240f8cf665d825b1fe2741f2aa41fd089c79.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784789652000,1784789652000,1m,xyz:SKHX,5210,2026-07-19 16:05:00+00:00,2026-07-23 06:54:00+00:00,200,data/raw/hyperliquid/5ffa4ed2e6635b3ef42494568278eb06b6b2f190f2ca1254417ce4f4cfe29bab.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781071200000,1784797199999,1784797199999,15m,xyz:SKHX,4140,2026-06-10 06:00:00+00:00,2026-07-23 08:45:00+00:00,200,data/raw/hyperliquid/6a44ae02d1c0c02bff5d892eb5301e2f622ca54d17b1477f4559e6ba765a1a5c.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1781567940000,1781567940000,1m,xyz:SKHX,0,,,200,data/raw/hyperliquid/8090aa6016e23901c23463597096539666c3be1d2ef6322ddd90bf7994287b0d.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784793617316,1784793617316,15m,xyz:SKHX,4138,2026-06-10 05:45:00+00:00,2026-07-23 08:00:00+00:00,200,data/raw/hyperliquid/89d3b2484c24921e92bcb789cb66e8be1d968f4319371586a266346db94b8d18.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784797140000,1784797647000,1784797647000,1m,xyz:SKHX,9,2026-07-23 08:59:00+00:00,2026-07-23 09:07:00+00:00,200,data/raw/hyperliquid/92e0883d368f03ee08d7269d56091bb27a8f8f4e9341ecf4001959ceeb91b9c4.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784789700000,1784791229000,1784791229000,1m,xyz:SKHX,26,2026-07-23 06:55:00+00:00,2026-07-23 07:20:00+00:00,200,data/raw/hyperliquid/97fe6ad9aa6f47fb78fb2efb18b6f142ce31158e9825acc6ea60ffd63d27f5e9.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784792580000,1784794641000,1784794641000,1m,xyz:SKHX,35,2026-07-23 07:43:00+00:00,2026-07-23 08:17:00+00:00,200,data/raw/hyperliquid/9a2ce7b22dc6305fd72839009d9095b6a822ae1d51c220424d8b4bf1097b9a81.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784794680000,1784794787000,1784794787000,1m,xyz:SKHX,2,2026-07-23 08:18:00+00:00,2026-07-23 08:19:00+00:00,200,data/raw/hyperliquid/9ad48b8a79cf72a5b1f0f4488540b5539c6f676d3176585193a734102f02bc29.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784795144000,1784795144000,15m,xyz:SKHX,4139,2026-06-10 05:45:00+00:00,2026-07-23 08:15:00+00:00,200,data/raw/hyperliquid/a352e98f25b341165bd31e938e691d084a5fb9b5e9a054ad63afb4b7db7cb8c0.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784797108000,1784797108000,15m,xyz:SKHX,4141,2026-06-10 05:45:00+00:00,2026-07-23 08:45:00+00:00,200,data/raw/hyperliquid/bc354f79b5f29739c5da39ae324eea7a624e72a2e2edd35670e255ff6c5b7c11.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781071200000,1784798099999,1784798099999,15m,xyz:SKHX,4141,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,200,data/raw/hyperliquid/cc559470462a351015d96141682109a98dab287ffa957632dbc778bc3e485ba0.json,
hyperliquid,https://api.hyperliquid.xyz/info,1781070600000,1784797647000,1784797647000,15m,xyz:SKHX,4142,2026-06-10 05:45:00+00:00,2026-07-23 09:00:00+00:00,200,data/raw/hyperliquid/d866c4446c98a3e8024393f328340e412e9f830c1813542a2d21b74ff8110839.json,
hyperliquid,https://api.hyperliquid.xyz/info,1784791260000,1784792554000,1784792554000,1m,xyz:SKHX,22,2026-07-23 07:21:00+00:00,2026-07-23 07:42:00+00:00,200,data/raw/hyperliquid/fd6ad270ec61291bc76bf9e172fd0709065e48a7bfb6c8f3ed54b64d91d2ec99.json,
hyperliquid,POST /info candleSnapshot,2026-06-10 05:50:00+00:00,2026-06-15 23:59:00+00:00,1781567940000,1m,xyz:SKHX,0,,,200,data/raw/hyperliquid/8090aa6016e23901c23463597096539666c3be1d2ef6322ddd90bf7994287b0d.json,EMPTY_OLD_WINDOW
hyperliquid,POST /info candleSnapshot,2026-06-10 05:50:00+00:00,2026-07-23 09:20:53+00:00,1784798453000,15m,xyz:SKHX,4143,2026-06-10 05:45:00+00:00,2026-07-23 09:15:00+00:00,200,data/raw/hyperliquid/3af9c14352982078d7b7836c7ba187a8fab12e2a25e916e997b3f1f3fec15e4d.json,
